MC,,1,What type of law addresses issues that interfere with a firm's right to do business?,4,Environmental,Criminal,Judiciary,Tort
MC,,1,How can you attempt to cancel a contract without facing legal action?,3,Breach the contract and refuse to pay the other party.,Bring a lawsuit against the other party.,Send a request to the other party asking for cancellation.,Cancel the contract within a year of signing it.
MC,,1,Which of the following forms of business ownership must obtain a charter from the state(s) in which it operates:,1,Corporation,Sole proprietorship,Partnership,Consolidation
MC,,1,Which of the following is a personal factor that affects the choice of a form of business ownership:,2,Market considerations,Business experience,Area of the country,Economic conditions
MC,,1,Which of the following is a condition that must exist for channels to be effective:,3,Channel members must have varying goals.,They must have at least five members.,They must be properly managed.,Channel members must not share tasks.
MC,,1,Indirect channels of distribution are the only channels that involve,2,industrial users.,intermediaries.,producers.,ultimate consumers.
MC,,1,The Barker Company is determining which channel of distribution to use by considering the number of potential customers in various geographic regions. The company is focusing on,4,employees' capabilities.,branding issues.,product benefits.,market factors.
MC,,1,What is one of the reasons why a supervisor might prepare a formal business report?,3,To compile sales expenses,To request pricing information,To analyze marketing trends,To schedule training sessions
MC,,1,"When a customer sees a news story on TV about a certain company or brand, it's an example of a(n)",2,brand promise.,touchpoint.,advertisement.,slogan.
MC,,1,One of the benefits of competition to consumers is that competition encourages,2,businesses to limit their product lines.,businesses to develop new products.,government to fix prices.,government to finance business activity.
MC,,1,Which of the following was one of government's original roles in business:,1,Acting as a referee,Regulating technology,Ensuring a business's profitability,Protecting the environment
MC,,1,Which of the following economic concepts influences the cost of the production process:,2,Balance of payments,Economies of scale,Distribution of income,Inelasticity of demand
MC,,1,Changing parts of a game that is marketed in other countries so the game conforms to local customs and preferences is an example of,2,customization.,cultural sensitivity.,globalization.,nationalization.
MC,,1,"In persuasion, what technique should you follow to be ready to answer questions and give proof?",4,Attract attention.,Be reasonable.,Make it personal.,Do your homework.
MC,,1,How does a goal differ from a vision?,2,A goal is broad and far-reaching.,A goal is concrete and measurable.,A goal is abstract and indefinite.,There is no difference—the two are the same.
MC,,1,"If an employee is content with the way things are currently done at work, they are more likely to __________ workplace changes.",4,understand,look forward to,accept,resist
MC,,1,Tory is a new business owner offering data management services for medical records to hospitals. How can she identify what hospital administrators will expect from her service?,2,Entertain hospital administrators at a sporting event,Read about trends impacting the hospital industry,Read patient reviews about each hospital,Research each hospital's financial information
MC,,1,"Gianna is attempting to build a strategic relationship with Nico, who is an influential member of the local business community. What is one technique Gianna could use to build the relationship?",2,Establishing dominance and control,Finding a shared vision,Seeking a deal as quickly as possible,Focusing on Nico's shortcomings
MC,,1,Which of the following businesses best represents an innovative entrepreneurial endeavor:,4,Starting a clothing business online,Buying a small local coffee shop from its founder,Opening a new pizza franchise,Developing and selling a new wood-cutting device
MC,,1,Arielle knows that she would be a good entrepreneur because she,1,can withstand ups and downs.,likes to see immediate results of her work.,is easily interested by many different ideas.,depends on others to get work done.
MC,,1,Which of the following statements regarding international trade is true:,3,Businesses shipping internationally must use freight forwarding services.,Only large companies typically benefit from conducting international trade.,Online businesses can easily become involved in international trade.,Foreign language skills are required to conduct international trade.
MC,,1,Entrepreneurial discovery is an important process in a free enterprise economic system because an entrepreneur or small-business owner can,4,change legal requirements.,form a technological monopoly.,improve economic sanctions.,satisfy an unmet demand.
MC,,1,"When generating product ideas as a group, who typically guides the discussion?",4,Innovator,Negotiator,Mentor,Facilitator
MC,,1,The financial section of a feasibility study must include sources of,1,funding.,materials.,staffing.,technology.
MC,,1,"What financial tool do entrepreneurs use to plan, monitor, and manage their ventures' income and expenses?",4,Inbound-call report,Request for proposal,Environmental scan,Operating budget
MC,,1,An entrepreneur is most likely to discuss the concept for a new business with an industry expert when the entrepreneur,1,lacks knowledge or experience in the field.,needs to obtain a commercial bank loan.,wants to increase the business's profit margins.,is ready to plan promotional activities.
MC,,1,"Karla is obtaining a short-term simple interest loan to start her home-based business. If she borrows $3,000 at a 4.25% interest rate and pays the loan back two years after obtaining the loan, how much interest will Karla pay?",1,$255,$127.50,"$3,255","$3,127.50"
MC,,1,Which of the following is a sign that a company may need to hire more employees:,3,Company revenue is below target.,Employees are underworked.,The company is often unable to meet its deadlines.,Employees are happy with working conditions.
MC,,1,"Al is thinking about moving his company's headquarters to another city, which would be expensive but would bring the company closer to the raw materials needed for manufacturing. The benefit of moving is",3,feasibility.,demand.,proximity.,independence.
MC,,1,Small-business owners develop and use operating procedures so that everyday tasks are performed in a(n) __________ way.,3,diverse,imprecise,standard,innovative
MC,,1,Which factor tends to reduce employee productivity and has a negative effect on the success of a new business?,1,Poor communication,Narrow product lines,Clear quality standards,Short-term goals
MC,,1,"To stay competitive, business owners must adapt to changes in the business environment by monitoring external factors such as",2,profit margins.,economic conditions.,product development.,staffing needs.
MC,,1,The profit a business earns can be determined from the business's,1,income statement.,balance sheet.,budget.,assets.
MC,,1,"Calculate a business's cash receipts if it has $12,450 in sales, earns $78 in interest, collects $625 in sales tax, and owns $5,700 worth of equipment.",2,"$13,153","$12,528","$18,853","$17,150"
MC,,1,Which of the following is an example of a current asset:,1,Checking account,Building,Machinery,Land
MC,,1,Which of the following is an example of business process thinking:,1,A company strives to fix its method of internal communications.,The marketing department and finance department avoid interacting.,"Whenever a customer complains about slow service, servers are fired.",A company prioritizes product promotions over product development.
MC,,1,Which of the following types of credit might business owners obtain to purchase seasonal goods for resale:,2,Mortgage debts,Short-term loans,Stocks and bonds,Accounts receivable
