MC,,1,What is a common consequence that comes with a civil lawsuit?,1,Paying a fine,Serving time in prison,Performing community service,Attending counseling sessions
MC,,1,The goal of many governmental agencies is to protect the,2,barriers to trade.,rights of business.,target market.,monetary policy.
MC,,1,"From a legal standpoint, hospitality and tourism customers have the right to expect businesses in this industry to take",4,total responsibility for accidents.,no risks.,insurance out of each customer.,reasonable care.
MC,,1,Your class has a presentation from a guest speaker. Which of the following behaviors is most likely to help you support the speaker and demonstrate your interest in the presentation:,2,Whisper any comments you need to make to your classmates.,Take notes of the speaker's most important comments.,Avoid asking the presenter any questions.,Silence the ringer on your smartphone.
MC,,1,A client who is resistant to your sales pitch might show his/her defensiveness by,3,making eye contact.,smiling.,crossing his/her arms.,nodding her/his head.
MC,,1,Which of the following is a characteristic of effective oral presentations:,2,Gathers information,Attracts attention,Identifies conflict,Provides discussion
MC,,1,Which of the following visual aids is often used to clearly illustrate a company's sales by region:,4,Venn diagram,Organizational chart,Flowchart,Geographical map
MC,,1,What is the best way for an employee to obtain product specifications for a piece of office equipment?,4,Develop a cost/benefit analysis,Submit a quotation to management,Write a product review,Send a letter of inquiry to the vendor
MC,,1,"When writing an executive summary, be sure that you",3,make the summary at least 1/10th as long as the full report.,use as much business jargon as possible.,target people who don't have time to read the full report.,include every point from the full report.
MC,,1,What is usually the tone of a simple written report?,3,Dramatic,Solemn,Informal,Imprecise
MC,,1,Jenna is a social media coordinator for a boutique hotel. What is one task she should be sure to do every day?,2,"Add 1,000 new followers",Respond to customer inquiries,Engage with community influencers,Define her target audience
MC,,1,What is one of the benefits to a business of reinforcing service orientation through communication?,3,Rewards customers for their support,Promotes the sale of new products,Builds positive relationships with customers,Encourages employees to be aggressive
MC,,1,"A customer complained about the new toaster she had purchased because, even on the lowest setting, it burned the toast. This kind of complaint is caused by the",2,wholesaler.,manufacturer.,retailer.,salesperson.
MC,,1,The executives of an airline recently determined that the cost of their extensive employee training program was too high and decided to terminate the program. What is a possible consequence of this decision?,3,Stronger financial standing,Increased number of repeat customers,Decreased quality of customer service,More focus on efficiency
MC,,1,"When Izzy spilled lemonade in a customer's lap, she apologized and brought out another lemonade to replace it. The customer was still unhappy and told Izzy that he wouldn't be returning to the restaurant. What could Izzy have done to recover in this situation?",1,Offered the customer a restaurant gift card,Explained to the customer why he was being unreasonable,Avoided the customer and sent out a different server,Offered the customer an iced tea instead
MC,,1,Which of the following is a true statement regarding the relationship between customer service and the hospitality and tourism industry:,2,"Customer service is important, but less so than price.",Business success or failure depends on customer service.,Customer service cannot be taught through training.,Greater customer satisfaction leads to lower revenue.
MC,,1,"Tariq works at the front desk of a hotel. He tries to keep customers happy, but he finds it difficult to do so because his company does not have strong policies in place to handle issues. Tariq's customer service practices are affected by",1,organizational culture.,his extraverted personality.,local competition.,customer loyalty.
MC,,1,"Due to bad weather, Clear Skies Airline had to cancel an international flight. How can Clear Skies Airline best deliver a positive moment of truth in this situation?",4,Apologize profusely to customers who are upset,Clearly explain the situation to anyone who has questions,Send a customer satisfaction survey to determine future improvements,Provide complimentary hotel rooms and food for stranded passengers
MC,,1,The manager of the Majesty Resort just quit in the middle of summer vacation season. She told the owner that she felt too overwhelmed by all of the work she had to do. The owner of the Majesty Resort should have,4,closed down the resort during peaks in demand.,hired a more responsible manager.,convinced the manager to stay.,increased staffing for peaks in demand.
MC,,1,Which of the following is an example of using social media to enhance a customer's post-sale experience:,4,Offering discounts for first-time customers,Posting about the release of a product line,Obtaining new followers that could make a purchase,Responding to negative and positive online reviews
MC,,1,Into what two categories can wants be divided?,4,Unlimited and noneconomic,Unlimited and economics,Unlimited and limited,Economic and noneconomic
MC,,1,"A Vermont ski shop has not yet received its November shipment of ski supplies. Since the holiday rush is only days away, you would expect prices of existing stock to",4,fluctuate.,decrease.,remain the same.,increase.
MC,,1,A manufacturing company is well-suited for a divisional organizational structure broken down by,1,Process,Job function,Customer type,Product
MC,,1,"To develop new products that accommodate changing markets, a business should",2,adopt a laissez-faire organizational structure.,implement innovative management practices.,develop licensing programs with business partners.,review its profit margins on a continuous basis.
MC,,1,"Larry's Pro Shop sold $583,000 in merchandise during the year. He paid out $259,000 for equipment, salaries, and utilities. His company had $100,000 left over after taxes. The company's __________ was $224,000.",2,gross profit,cost of merchandise,annual income,net profit
MC,,1,Why should productivity be measured?,4,To locate new sources of inputs,To find new ways to meet customer needs,To determine the best ways to invest company profits,To see whether the business's objectives are being met
MC,,1,Which of the following is a typical result of price instability:,3,Long-term government projects are easier to arrange.,Wealth is redistributed in a way that is often productive to the economy.,It becomes difficult for consumers to plan ahead.,Businesses often hire more employees.
MC,,1,What is an important social and cultural factor that has an impact on global trade?,2,Technology,Language,Politics,Economics
MC,,1,Assuming that all people of a certain nationality will work long hours for low pay is an example of,1,stereotyping.,discrimination.,prejudice.,harassment.
MC,,1,Which of the following behaviors is often associated with effective hospitality and tourism managers:,4,Being critical of others,Discouraging dissent,Questioning employees' motives,Exhibiting self-control
MC,,1,One of the ways that responsible employees benefit the business is that they,2,require more company rules.,require less supervision.,do not demand raises or promotions.,know how to do incorrect work over.
MC,,1,An individual who lives by an established set of personal ethics is said to have,4,intelligence.,apathy.,bravery.,integrity.
