MC,,1,One business promising to do something for another business in return for receiving compensation is an example of a,1,contract.,benefit.,treaty.,enterprise.
MC,,1,"When an agent legally acts in the best interests of his/her client, the agent is establishing a(n) __________ relationship.",2,authoritative,fiduciary,principal,legislative
MC,,1,What do business owners consider when they select a business ownership structure?,4,"Product versatility, advertising strategies, and personal circumstances","Product versatility, financial needs, and advertising strategies","Personal circumstances, type of business, and product mix","Personal circumstances, financial needs, and the type of business"
MC,,1,"When businesses want to make their products available to customers but do not want to over-distribute their goods and services, they are seeking",2,exclusive marketing channels.,ideal market exposure.,direct distribution capabilities.,intense segment coverage.
MC,,1,Cindy's lemonade stand sells lemonade to customers. The route that the lemonade is taking from the producer to the final consumer is,3,roundabout.,indirect.,direct.,intermediary.
MC,,1,Which of the following often makes it difficult for small manufacturers that have limited budgets to receive an equal opportunity to distribute their new products:,2,Gray marketing,Slotting allowances,Channel strategies,Targeted advertising
MC,,1,A manufacturer that decides to sell directly to large retailers rather than through wholesalers might create __________ conflict within its distribution channel.,3,formal,horizontal,vertical,conventional
MC,,1,"The office photocopier is jammed again! Fortunately, there is an instruction manual to guide you through the process of removing the jammed paper. What is the best way to use the manual to clear the photocopier?",2,Read the entire manual in sequential order and then perform all of the steps in reverse order to,Read step one and then perform step one. Repeat this process in sequential order until all of the,Briefly skim the manual in reverse order and then follow the steps in sequential order to remove,"Perform the first step, and then verify that you have performed it correctly in the manual. Repeat"
MC,,1,Asking questions is important because it,3,helps you become a passive participant in the conversation.,gives you a chance to voice your opinion.,can clear up misunderstandings.,helps your brain process speech more quickly.
MC,,1,Your supervisor has asked you to prepare a marketing status report for each of the company's six regional offices. The most appropriate way to organize the information is,1,by site location.,by sales function.,in chronological order.,in reverse sequence.
MC,,1,What does an enclosure notation at the bottom of a business letter signify?,1,Something is being sent with the letter.,Copies of the letter were sent to others.,The sender wishes a reply.,The sender prepared the letter.
MC,,1,An effective executive summary,1,is written for people who won't read the whole document.,includes every point from the business report.,uses technical terminology to show the writer's expertise.,features complex compound sentences.
MC,,1,A memo on the bulletin board from a supervisor to staff members is an example of __________ communication.,1,downward,formal,upward,horizontal
MC,,1,"When the meeting leader asked the group participants if they had any suggestions for the new product catalog, Lily pulled out a list of notes that she had compiled and talked for the remaining 20 minutes of an hour-long meeting. In this situation, Lily",2,provided positive feedback.,monopolized the discussion.,followed parliamentary procedure.,expressed her opinions clearly.
MC,,1,Thomas does not know the answer to Mr. O'Malley's question about a complex product. Which of the following is the best way for Thomas to respond to Mr. O'Malley's inquiry:,3,"""I'll need to read the product manual before I can answer your question, Mr. O'Malley. I'll get","""Let me give you the manufacturer's website address. The information is probably available on","""I'm not sure, Mr. O'Malley. My coworker, Reggie, knows a lot about this model. If you can wait a","""I don't know. We do have a customer who just purchased this model. I'll get Mrs. Thompson's"
MC,,1,Negative word-of-mouth advertising due to unresolved customer complaints can cost a business its,3,facilities.,employees.,reputation.,licenses.
MC,,1,How can a business build its customers' trust and communicate its commitment to ethical practices?,2,Develop liberal business policies,Publish its confidentiality statement,Hire employees who have a positive attitude,Post its earnings on its website
MC,,1,An example of a natural resource is,3,an electrician.,physical ability.,iron ore.,office equipment.
MC,,1,"Marcy is ready to buy a new computer, and she has saved up enough money to buy the model she wants. Which of the following describes the quantity that Marcy is prepared to buy:",3,Supply,Elasticity,Demand,Market price
MC,,1,Businesses are being socially responsible to their customers when they,4,contribute to community causes.,provide safe working environments.,offer employees job training.,test the safety of their products.
MC,,1,One of the freedoms provided to individuals by the private enterprise system is the freedom to choose,3,which taxes they will pay.,how their employers pay them.,where they will work.,which laws they will obey.
MC,,1,Operating expenses are defined as the,4,start-up expenses of a business.,salaries paid to managers.,cost of goods sold.,costs of running a business.
MC,,1,How does increased business productivity benefit consumers?,1,"More goods and services become available, so prices go down.","More goods and services become available, so prices go up.","Costs of labor and prices increase, so inflation goes up.","The gross domestic product goes down, so inflation goes up."
