BUSINESS LAW,,, TABLE OF CONTENTS,Business Law 2 Communication Skills 5 Customer Relations 8 Economics 14 Emotional Intelligence 19 Entrepreneurship 23 Financial Analysis 28 Human Resources Management 37 Information Management 48 Marketing 50 Operations 54 Professional Development 59 Strategic Management 61
BUSINESS LAW,,,Describe the United States’ judicial system.,"The judicial branch of the federal government interprets, applies, and administers the laws of the US. It is  a network of courts at all levels  of government. Federal courts include district courts, federal courts of appeals, and the U.S.  Supreme Court. The state court system also includes a state Supreme Court, associate circuit courts, city or municipal courts, small claims courts,  juvenile courts, and probate courts."
BUSINESS LAW,,,Determine the relationship between government and business.,"The government serves as both a protector and a regulator of business in a free market economy. It serves to protect business property, enforce  contracts and settle disagreements through the courts, and collect taxes on the products businesses sell. As a regulator, the government enacts  and enforces laws to prohibit certain behaviors, control business activities, and require certain standards. Examples of such laws include laws to control monopolies, set product safety standards, and regulate prices."
BUSINESS LAW,,,Explain unfair labor practices,"Actions taken by employers or unions that are illegal under the National Labor Relations Act (NLRA) and other labor laws. (Unfair treatment because of race, religion, gender, etc.)"
BUSINESS LAW,,,Describe health and safety regulations in business.,Businesses must adhere to health and safety regulations established by the U.S.Department of Labor. Workplace safety regulations are enforced by the Occupational Safety and Health Administration (OSHA) through inspections and fines. Employers must maintain health and safety records and provide safety training. They must stay up-to-date on OSHA standards and resolve violations promptly.
BUSINESS LAW,,,Comply with the spirit and intent of laws and regulations,"Law is a body of rules prescribed by a controlling authority (government) with binding legal force. The law consists of rules that regulate the conduct of individuals, businesses, and other organizations within societies. The law is intended to protect people against unwanted interference from others. In the United States, there are 8 main sources of law and regulations."
BUSINESS LAW,,,Describe the nature of legal procedure,"The rules by which a court hears and determines what happens in civil lawsuit, criminal or administrative proceedings."
BUSINESS LAW,,,Describe factors affecting the settlement of legal matters,"A settlement is a set of terms that the parties agree to fulfill within a certain time frame after conclusion of the trial. Some factors are: Extent of Injury - how bad the damages are Potential Damages Caused by Trial - legal costs, etc. Publicity Concerns - unwanted media coverage, etc. Arbitration/Mediation - cheaper than formal litigation"
BUSINESS LAW,,,Describe legal issues affecting businesses,"Among the legal issues affecting businesses are the following. Consumer protection issues include product safety (for everything from toys to  furniture), zoning laws to protect real estate value and quality of life, public health (i.e. at restaurants), and licensing for personal service providers  (such as hairstylists and electricians). Employee protection issues include minimum wage standards, equal opportunity employment provisions, guidelines for workplace safety, and the Family and Medical Leave Act. Other legal issues businesses must be aware of include laws protecting investors and the environment as well as maintaining competition in the  marketplace. The Securities and Exchange Commission regulates the sale of stocks and bonds and investigates deals among corporations. Businesses"
BUSINESS LAW,,,Identify the basic torts relating to businesses,"Torts are civil (or public) wrongdoings against a person or organization that causes measurable harm (not necessarily criminal, but can be);  usually satisfied by a lawsuit. (fraud, defamation, contractual interference, false advertising, etc.)."
BUSINESS LAW,,,Explain the nature of personnel regulations,"Companies with many employees should have someone with knowledge regarding the diverse issues surrounding personnel. Regulations range  from payroll, taxes, and benefits (health, life, etc.) to insurance and non-discrimination issues. The IRS is the source of the US employer  responsibilities regarding taxes and the Equal Employment Opportunity Commission (EEOC) is the authority of unfair and discriminatory practices. Clear company policies should be in place and made clear to all new employees hired."
BUSINESS LAW,,,What are some ways you can maintain a safe work environment?,"Creating a safe work environment is important due to the significant financial impact these policies can have on a business. Many companies  develop an accident management program that includes complying with federal and state health and safety regulations, documenting workplace  incidents, providing employees with protective clothing and equipment, offering safety training and information and providing opportunity for safety and health training."
BUSINESS LAW,,,Describe health and safety regulations in business.,Businesses must adhere to health and safety regulations established by the U.S. Department of Labor. Workplace safety regulations are enforced by the Occupational Safety and Health Administration (OSHA) through  inspections and fines. Employers must maintain health and safety records and provide safety training. They must stay up-to-date on OSHA  standards and resolve violations promptly.
BUSINESS LAW,,,"Explain the nature of workplace regulations (including OSHA, ADA)",Occupational Safety and Hazards Administration and the Americans with Disabilities Act work to eliminate workplace dangers and reward safety  practices that help employees stay safe and healthy on the job.
BUSINESS LAW,,,Explain the concept of ethical work habits.,"Ethics are the basic values and moral principles that guide behavior. Characteristics of ethical work habits include honesty, respect, and equity.  Being honest is more than just telling the truth. It means maintaining confidentiality and having respect for company property. Honesty is the  basis for a trustworthy business relationship. Another solid base for business/customer relations is showing respect. This means listening to others with an open mind and responding with courtesy and tact. Equity means that everyone has equal rights and opportunities. Because  people expect to be treated the way those around them are treated, it is important to be fair and equitable in dealing with others."
BUSINESS LAW,,,Describe the nature of legally binding contracts.,"A contract that is legally binding is considered valid and enforceable in a court of law. A contract is a clear outline of an agreement between at  least two parties. Usually contracts define each party involved and any terms used within the agreement, the duration and/or timelines of the  contract, payment terms and provisions that protect each party. Legally binding contracts are required to have “consideration” which means  both parties are willingly entering into the agreement and are not being coerced."
BUSINESS LAW,,,Describe negotiation skills.,"The process of working with parties in a conflict to find a resolution is called negotiation. Negotiation requires good speaking and listening skills.  First, you must define the problem as clearly as possible from each person’s point of view. All feelings and facts must be presented. It helps to use “I  statements”, that does not put the other person on the defensive. Active listening is the other main skill. Encourage the person speaking to be open  and maintain eye contact with him/her. Some other general techniques are helpful. Show respect to all parties. Collaborate and seek a variety of  possible solutions. Do your best to preserve the relationship among the parties. Finally, meet in a convenient, quiet, and neutral location. The two most important negotiation skills are speaking and listening. Each party must first present the problem from their point of view. Use a non-aggressive tone and “I statements” to make your point, trying not to  cast blame. Active listening on your part shows you are interested in the other person’s ideas and feelings. Try to empathize with the person who is  speaking. The problem is solved only when both/all parties reach a common agreement."
BUSINESS LAW,,,Discuss the arbitration/mediation process,"Arbitration is like the court process as parties still provide testimony and give evidence similar to a trial but it is usually less formal. In mediation, the process is a negotiation with the assistance of a neutral 3rd party. The parties do not reach a resolution unless all sides agree."
BUSINESS LAW,,,Explain types of business ownership.,"There are three types of business ownership: sole proprietorship, partnership, and corporation. ● A sole proprietor owns and operates a business by oneself. ● A partnership is owned and operated by two or more people and is jointly responsible for the business’ outcomes.  ● A corporation is operated by several people and owned by stockholders."
BUSINESS LAW,,,Select form of business ownership,"Sole proprietorship, partnership, nonprofit corporation, and benefit corporation."
BUSINESS LAW,,,Identify the impact of small business/entrepreneurship on market economies,Small businesses diversify market economies by claiming small parts of market share which may appeal to a more specific demographic and  consumers.
BUSINESS LAW,,,Describe methods used to protect intellectual property,"Intellectual property can be protected through patents, trademarks, and copyrights. A patent: legal ownership of an item or idea Trademark. A word, name, symbol, sound or color that identifies a good or a service Copyrights: legal protection for anything that is authored by an individual or company, such as writings, music and artwork. Trade secret: protected by law and usually employees sign something agreeing not to disclose information"
BUSINESS LAW,,,Describe the roles and responsibilities of risk management personnel,"Risk Management job description guide. The role of a Risk Manager is to communicate risk policies and processes for an organization. They  provide hands-on development of risk models involving market, credit and operational risk, assure controls are operating effectively, and provide  research and analytical support."
BUSINESS LAW,,,Explain warranties and guarantees.,"Warranties are a promise to the consumer that a good or service will meet certain expectations that relate to materials, quality and performance.  An express warranty is in writing or communicated verbally to convince the buyer to purchase a product. A full warranty guarantees that if a  product is found defective it will be repaired or replaced with no charge to the customer. Limited warranties may exclude certain parts of a product from the warranty. Implied warranties are those that protect consumers based on state laws. Guarantees are used in promotional strategies  including money-back guarantee, results guaranteed, guaranteed for time of use, or satisfaction guaranteed."
BUSINESS LAW,,,Identify consumer protection provisions of appropriate agencies.,"Consumers are protected by both federal and state provisions. The Federal Trade Commission enforces the Magnuson-Moss Consumer Product  Warranty Act that sets minimum standards for warranties. The Consumer Product Safety Commission monitors product safety by issuing standards for constructions, testing, packaging and performance. The Food and Drug Administration enforces the Food,  Drug and Cosmetics Act which sets standards for pure, wholesome and effective products in these categories. States have various forms of lemon laws and Better Business Bureaus to protect consumers."
BUSINESS LAW,,,Discuss the role of administrative law.,"Administrative Law integrates several areas of law, which include administrative rules, regulations and procedures for government agencies and  bodies; the scope of agency authority, in particular individual privacy; and enforcement powers of agencies."
BUSINESS LAW,,,Explain the nature of import/export law.,"A tax collected on imports and some exports by the customs authorities of a country. This tax is used to raise state revenue. It is based on the value of goods called ad valorem duty or the weight, dimensions, or other criteria of the item such as its size."
BUSINESS LAW,,,Describe the nature of customs regulations,"A tariff or tax imposed on goods when transported across international borders. The purpose of Customs Duty is to protect each country&apos;s economy, residents, jobs, environment, etc., by controlling the flow of goods, especially restrictive and prohibited goods, into and out of the country."
